------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------
File                                                  | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
------------------------------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------
All files                                             |   78.86 |    69.68 |   73.51 |   78.61 |
 app                                                  |   59.25 |      100 |      60 |      56 |
  app.component.ts                                    |     100 |      100 |     100 |     100 |
  app.config.ts                                       |       0 |      100 |       0 |       0 | 2-21
 app/core/guards                                      |   93.54 |    68.75 |     100 |   92.85 |
  auth.guard.ts                                       |     100 |      100 |     100 |     100 |
  role.guard.ts                                       |   90.47 |    64.28 |     100 |   89.47 | 16,20
 app/core/i18n                                        |     100 |    91.66 |     100 |     100 |
  language.service.ts                                 |     100 |    91.66 |     100 |     100 | 35
 app/features/about                                   |       0 |      100 |       0 |       0 |
  about.component.ts                                  |       0 |      100 |       0 |       0 | 1-144
 app/features/about/components/about                  |     100 |      100 |     100 |     100 |
  about.component.ts                                  |     100 |      100 |     100 |     100 |
 app/features/admin/components/admin-dashboard        |    87.5 |      100 |   71.42 |   86.36 |
  admin-dashboard.component.ts                        |    87.5 |      100 |   71.42 |   86.36 | 51,70-71
 app/features/admin/components/admin-sidebar          |    90.9 |       50 |     100 |   88.88 |
  admin-sidebar.component.ts                          |    90.9 |       50 |     100 |   88.88 | 66
 app/features/admin/components/payments               |   64.14 |    48.27 |   66.03 |   63.77 |
  payments.component.ts                               |   64.14 |    48.27 |   66.03 |   63.77 | 1212,1311-1347,1402-1428,1443-1466,1490-1492,1510-1511,1532-1567,1583,1595,1614
 app/features/admin/components/rental-requests        |   96.87 |    76.92 |      96 |   97.82 |
  rental-request.component.ts                         |   96.87 |    76.92 |      96 |   97.82 | 910-911
 app/features/admin/components/rooms-management       |   81.15 |    72.81 |   78.74 |   81.12 |
  rooms-management.component.ts                       |   81.15 |    72.81 |   78.74 |   81.12 | ...957-1099,1305-1315,1335-1338,1351,1369,1424,1428,1448,1541,1564,1581,1605,1685,1730,1734,1746-1748,1764-1772
 app/features/admin/components/scheduled-management   |   76.19 |    59.25 |   65.62 |   75.96 |
  scheduled-management.component.ts                   |   76.19 |    59.25 |   65.62 |   75.96 | 899,919-921,1127-1233,1254,1283,1325
 app/features/admin/components/users-management       |   85.84 |    63.63 |   79.41 |   85.43 |
  users-management.component.ts                       |   85.84 |    63.63 |   79.41 |   85.43 | 399,423,484,495-499,516-529
 app/features/admin/components/viewing-approval-modal |     100 |      100 |     100 |     100 |
  viewing-approval-modal.component.ts                 |     100 |      100 |     100 |     100 |
 app/features/admin/services                          |     100 |      100 |     100 |     100 |
  admin-dashboard.service.ts                          |     100 |      100 |     100 |     100 |
